id;labelMatiere
;Allemand
;Anglais
;Arts Plastiques
;EPS
;Espagnol
;Français
;Histoire Géographie
;Italien
;Latin
;Mathématiques
;Musique
;Physique Chimie
;Sciences de la Vie et de la Terre
;Technologie
